Timestamp:, sensor 1 , , , , , , sensor 2 , , , , , , body 1, , , , , , , body 2, , , , , , , body 3, , , , , , , body 4, , , , , , , body 5, , , , , , , body 6, , , , , , 
0.0166667, 1.12359,-3.25006,-14.4274,-1.11538,0.211957,0.0533094,-1.94387,-1.8687,-22.9007,-1.31232,-0.436038,-0.0777522,0.451174,1.396,-0.234636,0.983191,0.0118535,0.174745,0.0515622,0.381828,1.43317,-0.0739505,0.932472,-0.044949,0.338541,-0.117757,0.443392,1.11113,0.00151801,0.864631,0.432194,-0.231756,-0.109138,0.668627,1.08544,-0.0400104,0.829866,0.0897173,-0.499517,-0.231853,0.768294,1.07243,-0.0351725,0.715869,0.438848,-0.529089,0.122512,0.698549,0.958426,-0.210253,0.92931,-0.003317,0.369224,-0.00678495,
0.0416667, 1.11666,-3.25152,-14.3986,-1.11934,0.207861,0.0539546,-1.92273,-1.87798,-22.9132,-1.31445,-0.437912,-0.0801566,0.451402,1.39598,-0.234434,0.982925,0.0128262,0.176792,0.049379,0.382018,1.43316,-0.0736428,0.932541,-0.0449165,0.338461,-0.117451,0.443392,1.11113,0.00151801,0.864631,0.432194,-0.231756,-0.109138,0.668685,1.08542,-0.0400028,0.830255,0.0900075,-0.499022,-0.231415,0.768374,1.0724,-0.0351553,0.716052,0.439044,-0.528731,0.122283,0.698717,0.958735,-0.210782,0.930601,0.000361061,0.366007,-0.00449299,
0.0583333, 1.08388,-3.21973,-14.4127,-1.11994,0.204652,0.0542961,-1.90826,-1.85584,-22.8353,-1.31622,-0.439738,-0.0811559,0.451299,1.39593,-0.234266,0.983068,0.0129798,0.175555,0.0508847,0.382147,1.43312,-0.0734446,0.932474,-0.0440887,0.338645,-0.117764,0.443392,1.11113,0.00151801,0.864631,0.432194,-0.231756,-0.109138,0.668684,1.08537,-0.0399775,0.830429,0.0902996,-0.498679,-0.231414,0.768454,1.07234,-0.0351447,0.715923,0.439266,-0.528756,0.122135,0.698769,0.9588,-0.210821,0.930591,0.000636416,0.366029,-0.00469121,
0.075, 1.04167,-3.23482,-14.521,-1.11813,0.205459,0.0529051,-1.90187,-1.86658,-22.8387,-1.31528,-0.438819,-0.0838406,0.451357,1.39592,-0.234056,0.983036,0.0130032,0.175898,0.0503025,0.382293,1.43311,-0.0732423,0.932406,-0.0441679,0.338841,-0.117705,0.443392,1.11113,0.00151801,0.864631,0.432194,-0.231756,-0.109138,0.668834,1.0855,-0.0398338,0.829824,0.0932698,-0.499049,-0.231608,0.7686,1.07231,-0.035187,0.716254,0.439394,-0.528265,0.121857,0.698846,0.958822,-0.210867,0.930505,0.000688816,0.366243,-0.00507238,
0.1, 1.0784,-3.15833,-14.4479,-1.12221,0.201675,0.0541132,-1.88681,-1.87527,-22.7623,-1.31034,-0.437699,-0.0848239,0.45151,1.39595,-0.233765,0.9829,0.0135304,0.176823,0.0495907,0.382447,1.43301,-0.0729458,0.932246,-0.0437427,0.339499,-0.117238,0.443392,1.11113,0.00151801,0.864631,0.432194,-0.231756,-0.109138,0.669026,1.08539,-0.0396799,0.829708,0.0932356,-0.498995,-0.232156,0.768739,1.07234,-0.0352018,0.715844,0.439701,-0.528532,0.122002,0.698935,0.958886,-0.210913,0.930487,-0.000316209,0.366304,-0.00397528,
0.116667, 1.06851,-3.15498,-14.3902,-1.12585,0.200518,0.053305,-1.88959,-1.88712,-22.6861,-1.30567,-0.437196,-0.0868537,0.451529,1.39593,-0.233578,0.982837,0.0139238,0.176975,0.050182,0.382607,1.433,-0.0727494,0.932183,-0.0436381,0.339796,-0.116914,0.443392,1.11113,0.00151801,0.864631,0.432194,-0.231756,-0.109138,0.669047,1.08543,-0.0398875,0.831175,0.0916231,-0.496496,-0.232905,0.768882,1.07233,-0.0352499,0.715906,0.439774,-0.528408,0.121908,0.699011,0.958868,-0.210953,0.930415,0.000359962,0.366482,-0.00433562,
0.141667, 1.05954,-3.0967,-14.4154,-1.12917,0.201883,0.0524607,-1.90281,-1.89609,-22.6457,-1.30275,-0.437645,-0.087583,0.4516,1.39589,-0.233385,0.982818,0.014521,0.17728,0.0492984,0.382948,1.43299,-0.0724857,0.93176,-0.0437048,0.340712,-0.117596,0.443392,1.11113,0.00151801,0.864631,0.432194,-0.231756,-0.109138,0.669314,1.0853,-0.0400243,0.830441,0.0900722,-0.498195,-0.232501,0.769036,1.07232,-0.0353728,0.715987,0.439924,-0.528264,0.121516,0.699066,0.958896,-0.211143,0.930633,-0.000610277,0.365916,-0.00527842,
0.158333, 1.05517,-3.04828,-14.3957,-1.12984,0.203893,0.0513184,-1.93085,-1.94258,-22.6245,-1.29961,-0.438331,-0.0872462,0.451616,1.39586,-0.233161,0.982913,0.0150887,0.17674,0.0491634,0.383102,1.43293,-0.0723301,0.931677,-0.0434399,0.340997,-0.117525,0.443392,1.11113,0.00151801,0.864631,0.432194,-0.231756,-0.109138,0.669239,1.08526,-0.0400829,0.831907,0.0896834,-0.496305,-0.231449,0.769177,1.07223,-0.0354745,0.716162,0.439918,-0.528151,0.120994,0.699108,0.958919,-0.211203,0.930604,0.00012199,0.365999,-0.00452892,
0.183333, 1.05847,-3.0925,-14.3945,-1.13008,0.204038,0.0501316,-1.94647,-1.95049,-22.6148,-1.29774,-0.438775,-0.0865431,0.451638,1.39587,-0.233062,0.98288,0.0152882,0.176853,0.0493498,0.383325,1.43292,-0.0721178,0.931538,-0.0433157,0.341259,-0.117915,0.443392,1.11113,0.00151801,0.864631,0.432194,-0.231756,-0.109138,0.669553,1.08529,-0.0400165,0.831129,0.090877,-0.49694,-0.232413,0.769295,1.07227,-0.0355776,0.716292,0.44005,-0.527828,0.121161,0.699157,0.958915,-0.211327,0.930557,-0.000503761,0.366119,-0.00444894,
0.2, 1.10835,-3.08981,-14.4703,-1.13057,0.203879,0.0483009,-1.96576,-2.00729,-22.6148,-1.29785,-0.439586,-0.0856439,0.451659,1.39582,-0.232942,0.982922,0.0152038,0.176708,0.0490617,0.383418,1.4329,-0.0719516,0.931425,-0.0434034,0.341341,-0.118536,0.443392,1.11113,0.00151801,0.864631,0.432194,-0.231756,-0.109138,0.66975,1.08544,-0.0401651,0.831191,0.090935,-0.496919,-0.232216,0.769413,1.07216,-0.0356199,0.716218,0.440134,-0.52787,0.12111,0.699186,0.958891,-0.211383,0.930483,-0.00103145,0.366294,-0.00534385,
