Timestamp:, sensor 1 , , , , , , sensor 2 , , , , , , body 1, , , , , , , body 2, , , , , , , body 3, , , , , , , body 4, , , , , , , body 5, , , , , , , body 6, , , , , , 
0.225, -0.582324,-10.7536,-13.3276,0.472206,-0.0644655,0.0368403,-2.2183,-7.8148,-6.50797,0.598759,-0.108314,0.0990945,0.359741,1.37556,-0.24284,0.940973,0.0821132,0.327282,-0.0267206,0.35211,1.41099,-0.0452634,0.930486,0.0333966,0.357957,-0.0703398,0.303726,1.06874,0.0236109,0.884378,0.314134,-0.0589318,-0.34018,0.473089,1.01447,-0.10953,0.853015,0.0721688,-0.285799,-0.43067,0.563748,0.979816,-0.157007,0.805776,0.388769,-0.418,-0.157667,0.528266,0.833242,-0.344331,0.996193,-0.0117981,0.0568859,-0.0649906,
0.241667, -0.582246,-10.7414,-13.4016,0.47115,-0.065145,0.0369434,-2.24082,-7.84285,-6.47959,0.600123,-0.10677,0.0988899,0.359559,1.37567,-0.242556,0.941619,0.081637,0.325838,-0.022781,0.35211,1.41099,-0.0452634,0.930486,0.0333966,0.357957,-0.0703398,0.303674,1.06873,0.0236799,0.884752,0.313938,-0.0587764,-0.339415,0.473008,1.01441,-0.10953,0.853106,0.0720468,-0.285549,-0.430676,0.563687,0.979792,-0.156892,0.80624,0.388805,-0.417264,-0.157156,0.52809,0.833253,-0.344302,0.996216,-0.0116967,0.0570856,-0.0644793,
0.266667, -0.577975,-10.7626,-13.3994,0.472803,-0.0650559,0.0367283,-2.23363,-7.81187,-6.49478,0.599025,-0.107336,0.100217,0.359462,1.37568,-0.242375,0.941926,0.0807671,0.325128,-0.0233105,0.35211,1.41099,-0.0452634,0.930486,0.0333966,0.357957,-0.0703398,0.303582,1.06866,0.0237692,0.884385,0.314595,-0.0585605,-0.3398,0.472901,1.01439,-0.109473,0.853053,0.0723424,-0.285507,-0.430759,0.563595,0.979717,-0.156951,0.805829,0.389348,-0.417598,-0.157036,0.527885,0.833282,-0.344322,0.996185,-0.0119306,0.0572338,-0.0647889,
0.283333, -0.568125,-10.8159,-13.3881,0.478081,-0.0671631,0.036124,-2.22737,-7.81095,-6.49243,0.600952,-0.107543,0.100285,0.359374,1.37571,-0.242202,0.941941,0.0803961,0.325054,-0.0249836,0.35211,1.41099,-0.0452634,0.930486,0.0333966,0.357957,-0.0703398,0.303538,1.06863,0.0238961,0.884203,0.315094,-0.0586445,-0.339797,0.472823,1.01433,-0.109453,0.853126,0.0722529,-0.284941,-0.431004,0.563523,0.979675,-0.15685,0.805994,0.389716,-0.416997,-0.156871,0.527723,0.833276,-0.344398,0.996167,-0.0115723,0.0575819,-0.0648271,
0.308333, -0.563564,-10.7744,-13.3986,0.477527,-0.0655919,0.0359256,-2.23651,-7.81285,-6.4187,0.604192,-0.105896,0.100912,0.359226,1.37567,-0.242011,0.941817,0.0811183,0.325271,-0.0244981,0.35211,1.41099,-0.0452634,0.930486,0.0333966,0.357957,-0.0703398,0.303423,1.06847,0.0238825,0.884505,0.314236,-0.0579732,-0.339919,0.472693,1.01424,-0.109402,0.85297,0.0727928,-0.285236,-0.431026,0.563418,0.97963,-0.157092,0.805757,0.389275,-0.417847,-0.156923,0.527532,0.833281,-0.34438,0.996162,-0.01152,0.0574156,-0.0650534,
0.325, -0.56449,-10.7847,-13.4006,0.477484,-0.0655233,0.0366236,-2.23974,-7.78781,-6.41885,0.604391,-0.104176,0.100881,0.359098,1.37551,-0.241899,0.941699,0.0821692,0.32534,-0.0245918,0.35211,1.41099,-0.0452634,0.930486,0.0333966,0.357957,-0.0703398,0.303478,1.06878,0.0239215,0.885489,0.313046,-0.0568232,-0.338647,0.472622,1.0142,-0.109382,0.853001,0.0727486,-0.285012,-0.431122,0.563668,0.979602,-0.156904,0.805664,0.391233,-0.416959,-0.154882,0.527397,0.833258,-0.344383,0.996223,-0.0108575,0.0571073,-0.0645038,
0.35, -0.553898,-10.7875,-13.3993,0.478583,-0.0654187,0.0370272,-2.21806,-7.77543,-6.41004,0.604744,-0.101942,0.0997032,0.358942,1.37553,-0.241721,0.941781,0.0822432,0.32511,-0.024238,0.35211,1.41099,-0.0452634,0.930486,0.0333966,0.357957,-0.0703398,0.303371,1.06827,0.0239596,0.884361,0.315042,-0.0597967,-0.339232,0.472483,1.01415,-0.109326,0.85295,0.07296,-0.284954,-0.431225,0.563401,0.979592,-0.156894,0.805975,0.390388,-0.416685,-0.156126,0.527161,0.833278,-0.34439,0.996253,-0.0104385,0.0571396,-0.0640734,
0.358333, -0.571491,-10.7794,-13.3734,0.480554,-0.0649223,0.0368992,-2.21676,-7.78876,-6.3787,0.605083,-0.101365,0.0995483,0.358924,1.37563,-0.241573,0.941804,0.0808193,0.325381,-0.0245093,0.35211,1.41099,-0.0452634,0.930486,0.0333966,0.357957,-0.0703398,0.303342,1.06829,0.0240194,0.884433,0.315052,-0.0593535,-0.339113,0.472449,1.01415,-0.109302,0.85303,0.0729667,-0.284702,-0.431231,0.56338,0.979593,-0.15688,0.806082,0.390407,-0.416541,-0.155909,0.527054,0.833276,-0.344387,0.996263,-0.0105172,0.0574255,-0.0636481,
0.383333, -0.544048,-10.8351,-13.1568,0.482314,-0.0657051,0.0367271,-2.20839,-7.7925,-6.37041,0.604895,-0.100727,0.0992106,0.358886,1.3756,-0.241495,0.941645,0.0819496,0.325707,-0.022451,0.35211,1.41099,-0.0452634,0.930486,0.0333966,0.357957,-0.0703398,0.303178,1.06806,0.0240802,0.88438,0.314986,-0.0599001,-0.339218,0.472299,1.01412,-0.109271,0.853145,0.0728115,-0.284187,-0.43137,0.563073,0.979564,-0.156824,0.806006,0.390317,-0.416436,-0.156804,0.526843,0.833323,-0.344427,0.996227,-0.0105951,0.0577837,-0.0638858,
0.408333, -0.572997,-10.8157,-13.2838,0.478856,-0.0644075,0.03759,-2.2018,-7.78806,-6.36927,0.605226,-0.10072,0.0987145,0.358552,1.37554,-0.241176,0.941775,0.081716,0.32531,-0.023575,0.35211,1.41099,-0.0452634,0.930486,0.0333966,0.357957,-0.0703398,0.303085,1.06797,0.0241956,0.884319,0.315062,-0.0599981,-0.339289,0.472182,1.01403,-0.109222,0.852967,0.0731923,-0.284318,-0.431571,0.563391,0.97954,-0.156968,0.806095,0.392015,-0.415737,-0.153941,0.526611,0.833308,-0.344477,0.99626,-0.0100202,0.0579541,-0.0632998,
0.425, -0.577777,-10.8027,-13.2753,0.47896,-0.0644429,0.037305,-2.2152,-7.79412,-6.32561,0.60434,-0.101232,0.0983651,0.358448,1.37562,-0.241021,0.941759,0.0809403,0.325495,-0.0243269,0.35211,1.41099,-0.0452634,0.930486,0.0333966,0.357957,-0.0703398,0.303092,1.06801,0.0242436,0.884375,0.315114,-0.059461,-0.339188,0.472093,1.01398,-0.109202,0.853009,0.0738487,-0.284975,-0.430943,0.563395,0.979528,-0.157002,0.805989,0.393177,-0.415139,-0.153145,0.52649,0.833337,-0.3445,0.996252,-0.00986529,0.0577077,-0.0636769,
0.45, -0.585654,-10.7964,-13.3269,0.478988,-0.0635378,0.0375171,-2.21889,-7.75717,-6.27481,0.6038,-0.101125,0.0990985,0.358244,1.37549,-0.24098,0.941356,0.083572,0.326004,-0.0242166,0.35211,1.41099,-0.0452634,0.930486,0.0333966,0.357957,-0.0703398,0.302973,1.06794,0.0243404,0.884225,0.315522,-0.0593269,-0.339223,0.471975,1.014,-0.109151,0.853013,0.0735226,-0.283893,-0.431703,0.563108,0.979539,-0.157109,0.805686,0.392404,-0.415855,-0.154772,0.526199,0.833399,-0.344486,0.996257,-0.00972098,0.0580761,-0.0632851,
0.458333, -0.555432,-10.7691,-13.2993,0.47851,-0.0626794,0.0377722,-2.19248,-7.79348,-6.33818,0.603622,-0.100355,0.0975985,0.358166,1.37536,-0.240824,0.94137,0.0828323,0.32615,-0.0242272,0.35211,1.41099,-0.0452634,0.930486,0.0333966,0.357957,-0.0703398,0.302916,1.0679,0.0244213,0.884256,0.315509,-0.0592969,-0.339161,0.471906,1.01398,-0.109151,0.853089,0.0730844,-0.283496,-0.43189,0.563,0.97954,-0.156937,0.805939,0.391744,-0.415821,-0.155218,0.526132,0.833436,-0.344568,0.996184,-0.00983733,0.0584017,-0.064105,
0.491667, -0.563409,-10.7878,-13.2298,0.482608,-0.0649075,0.037218,-2.20698,-7.75809,-6.35221,0.60142,-0.102019,0.0981577,0.357921,1.37561,-0.240651,0.941576,0.0840358,0.325385,-0.0222846,0.35211,1.41099,-0.0452634,0.930486,0.0333966,0.357957,-0.0703398,0.302711,1.06771,0.0246082,0.884132,0.315534,-0.0590323,-0.339507,0.47172,1.014,-0.109133,0.85314,0.0733631,-0.283493,-0.431743,0.563073,0.979398,-0.157235,0.806009,0.394508,-0.414005,-0.152688,0.52582,0.833505,-0.344627,0.996089,-0.0100321,0.0585908,-0.065372,
