Timestamp:, sensor 1 , , , , , , sensor 2 , , , , , , body 1, , , , , , , body 2, , , , , , , body 3, , , , , , , body 4, , , , , , , body 5, , , , , , , body 6, , , , , , 
0.0166667, -0.0356665,1.61189,1.25262,-0.0650251,-0.0374542,-0.0344783,-1.05409,0.441769,-0.821046,-0.0737261,-0.0976349,-0.0191982,0.0872729,1.04078,0.149431,0.979567,0.0349998,0.19645,-0.0251278,0.140042,0.82549,0.441044,0.925031,0.0198926,0.109557,0.363207,0.344241,0.749455,0.397601,0.892006,0.0176182,0.124458,0.434195,0.0193486,1.14089,0.372895,0.885262,-0.0157673,0.448894,0.120652,0.45414,0.709904,0.398887,0.961235,0.0545414,0.159262,-0.218377,0.348069,0.639839,0.171533,0.995344,0.0396593,-0.0865787,0.0149125,
0.0333333, -0.0337573,1.68856,1.24,-0.0702002,-0.0364646,-0.0326335,-1.05792,0.489668,-0.840881,-0.0788672,-0.0979078,-0.0213355,0.0872783,1.04091,0.149265,0.979263,0.0353358,0.197829,-0.0256845,0.14069,0.825379,0.44078,0.925466,0.0188841,0.109469,0.362178,0.34518,0.748667,0.39649,0.891916,0.0164249,0.118394,0.436118,0.0199681,1.14094,0.373019,0.88435,-0.0168442,0.45061,0.120794,0.454818,0.710137,0.397634,0.961544,0.0542345,0.1608,-0.215954,0.348069,0.639839,0.171533,0.995344,0.0396593,-0.0865787,0.0149125,
0.0583333, -0.0211708,1.71196,1.24,-0.0745568,-0.0347957,-0.0315658,-1.06912,0.608184,-0.912261,-0.0850374,-0.0973428,-0.0224459,0.0865342,1.04028,0.149143,0.977721,0.0409357,0.200587,-0.0463694,0.142174,0.825205,0.440195,0.925944,0.0199194,0.10998,0.360743,0.346924,0.748896,0.39481,0.894622,0.0158008,0.122766,0.429338,0.0209646,1.14097,0.37314,0.883041,-0.0166226,0.453059,0.121241,0.455972,0.709931,0.395661,0.960625,0.0532031,0.163415,-0.218321,0.348069,0.639839,0.171533,0.995344,0.0396593,-0.0865787,0.0149125,
0.0833333, -0.0673802,1.73096,1.16172,-0.076259,-0.0340409,-0.0311522,-1.11608,0.695395,-0.925234,-0.0903267,-0.0980155,-0.0228657,0.0865326,1.04028,0.148961,0.977276,0.0408274,0.203165,-0.0445881,0.143525,0.825129,0.439738,0.925255,0.0205394,0.113075,0.36152,0.347207,0.749086,0.39322,0.890892,0.018998,0.125835,0.436022,0.0220448,1.14089,0.373356,0.882197,-0.0154185,0.45461,0.121736,0.457093,0.710037,0.393704,0.960718,0.0529293,0.165012,-0.216772,0.348069,0.639839,0.171533,0.995344,0.0396593,-0.0865787,0.0149125,
0.1, -0.129591,1.72477,1.23456,-0.0759491,-0.0362806,-0.0307931,-1.18061,0.692833,-0.915465,-0.0881768,-0.0986429,-0.0201611,0.0864464,1.04026,0.148853,0.977089,0.0419017,0.203724,-0.0451577,0.144512,0.82506,0.439437,0.92487,0.0209325,0.115787,0.361623,0.348417,0.748631,0.39233,0.893911,0.0193454,0.13089,0.428271,0.0228001,1.14083,0.373453,0.881345,-0.0152175,0.456182,0.122056,0.457984,0.709991,0.392151,0.960543,0.0513228,0.165696,-0.217412,0.348069,0.639839,0.171533,0.995344,0.0396593,-0.0865787,0.0149125,
0.125, -0.180574,1.73225,1.36491,-0.0789563,-0.0410082,-0.0295665,-1.21298,0.659528,-0.869727,-0.0862082,-0.098688,-0.0216845,0.0863592,1.04026,0.1487,0.976594,0.0422245,0.205822,-0.046029,0.145933,0.825212,0.43894,0.92378,0.0254754,0.119889,0.362779,0.349366,0.748353,0.390658,0.892458,0.02061,0.1304,0.431382,0.0240309,1.14076,0.373714,0.88001,-0.0143088,0.458644,0.122567,0.459181,0.709977,0.389868,0.959746,0.0479244,0.172151,-0.216692,0.348069,0.639839,0.171533,0.995344,0.0396593,-0.0865787,0.0149125,
0.133333, -0.182745,1.72845,1.4654,-0.078124,-0.0437156,-0.0298126,-1.20628,0.610348,-0.849787,-0.0832851,-0.0969757,-0.0243205,0.0862605,1.04021,0.148674,0.976453,0.0427168,0.206202,-0.0468548,0.146408,0.825176,0.438756,0.923669,0.0259533,0.121202,0.362591,0.349816,0.748342,0.390238,0.891743,0.0195835,0.129346,0.433222,0.0244254,1.14073,0.373732,0.879697,-0.0138411,0.459255,0.122582,0.459563,0.71001,0.389195,0.959835,0.0476221,0.172909,-0.215757,0.348069,0.639839,0.171533,0.995344,0.0396593,-0.0865787,0.0149125,
0.158333, -0.143104,1.71084,1.36016,-0.0728686,-0.0487306,-0.0305851,-1.20051,0.541306,-0.847961,-0.079218,-0.0937297,-0.0257407,0.086155,1.04018,0.148421,0.97588,0.0427082,0.208505,-0.048582,0.147834,0.825011,0.438302,0.923608,0.025474,0.123538,0.361991,0.350912,0.748804,0.388724,0.888823,0.0226119,0.132756,0.438017,0.0262884,1.14014,0.37329,0.877465,-0.0126035,0.464134,0.12032,0.460903,0.710004,0.386773,0.959412,0.0451679,0.175183,-0.216332,0.348069,0.639839,0.171533,0.995344,0.0396593,-0.0865787,0.0149125,
0.183333, -0.127251,1.68877,1.36495,-0.0734876,-0.0493903,-0.0319887,-1.17104,0.444665,-0.766595,-0.0726389,-0.0915635,-0.0288519,0.0861355,1.04037,0.148173,0.975171,0.0424933,0.212078,-0.0475179,0.149352,0.825146,0.438048,0.923058,0.0239786,0.124403,0.363198,0.352529,0.747795,0.386792,0.889547,0.0233311,0.129366,0.437522,0.0275372,1.1401,0.373502,0.875824,-0.0124902,0.467079,0.120883,0.46219,0.709928,0.384537,0.95905,0.0451605,0.178055,-0.215593,0.348069,0.639839,0.171533,0.995344,0.0396593,-0.0865787,0.0149125,
0.2, -0.11803,1.65305,1.37158,-0.077246,-0.0497734,-0.0367626,-1.13966,0.374996,-0.766206,-0.069694,-0.0922803,-0.0319441,0.087261,1.04082,0.14735,0.972623,0.032787,0.224544,-0.0500988,0.150342,0.825106,0.437702,0.922907,0.0250669,0.126662,0.362729,0.353385,0.747948,0.385773,0.891888,0.0203537,0.133262,0.431697,0.0279216,1.1399,0.373491,0.872607,-0.0133411,0.474192,0.11628,0.463114,0.709845,0.382845,0.958387,0.0442892,0.181004,-0.216267,0.348069,0.639839,0.171533,0.995344,0.0396593,-0.0865787,0.0149125,
0.225, -0.108272,1.60329,1.36456,-0.07886,-0.0504855,-0.0390236,-1.11689,0.391387,-0.812619,-0.0710789,-0.0952435,-0.0357046,0.0860491,1.04053,0.147716,0.973937,0.0415937,0.218374,-0.0450423,0.152157,0.825079,0.437109,0.92274,0.0264389,0.127772,0.362665,0.354465,0.748337,0.384403,0.889054,0.0265474,0.13551,0.436481,0.0293332,1.13991,0.373737,0.871392,-0.0136082,0.47573,0.119043,0.46462,0.709963,0.380431,0.957505,0.0430524,0.185404,-0.216694,0.348069,0.639839,0.171533,0.995344,0.0396593,-0.0865787,0.0149125,
0.233333, -0.116326,1.59039,1.07151,-0.0791108,-0.0502291,-0.0421624,-1.11848,0.472807,-0.875617,-0.0730447,-0.0991798,-0.0347792,0.0860407,1.04051,0.147663,0.973707,0.041404,0.219455,-0.0449452,0.152703,0.825014,0.436842,0.922617,0.0286143,0.12967,0.362138,0.354954,0.748373,0.383657,0.888529,0.0283513,0.132053,0.438492,0.0297049,1.14007,0.373748,0.87079,-0.0129868,0.47675,0.119438,0.465097,0.70961,0.379662,0.957327,0.042882,0.185393,-0.217521,0.348069,0.639839,0.171533,0.995344,0.0396593,-0.0865787,0.0149125,
