Timestamp:, sensor 1 , , , , , , sensor 2 , , , , , , body 1, , , , , , , body 2, , , , , , , body 3, , , , , , , body 4, , , , , , , body 5, , , , , , , body 6, , , , , , 
0.025, -0.535556,-6.9523,-6.3569,0.773242,-0.0113031,-0.030342,-1.31203,-8.33703,-7.7462,0.623722,0.0178336,0.0785198,0.0792898,1.04697,0.146509,0.952277,0.0441035,0.301365,-0.0200772,0.0626803,0.793052,0.459756,0.893185,0.172506,0.0981522,0.40352,0.256198,0.783692,0.359808,0.797455,0.140975,0.200137,0.551487,0.0536605,1.13262,0.385265,0.880565,0.0366815,0.458471,0.114302,0.363917,0.780368,0.326252,0.950767,-0.0174404,0.309152,0.0127261,0.345922,0.660108,0.128765,0.99057,0.0284243,-0.0339357,0.129661,
0.0416667, -0.526179,-6.93206,-6.39534,0.776518,-0.0113307,-0.0289452,-1.30594,-8.29937,-7.6911,0.621596,0.0186483,0.0778647,0.0792789,1.04697,0.146509,0.95247,0.0443718,0.30069,-0.0204269,0.0626964,0.793043,0.459662,0.893207,0.172838,0.0982305,0.403311,0.256167,0.783856,0.359483,0.79894,0.141302,0.199024,0.549652,0.0536366,1.13271,0.38535,0.880031,0.0384492,0.459182,0.114974,0.363976,0.78031,0.326204,0.950944,-0.0156289,0.308695,0.0129967,0.345929,0.660273,0.128754,0.992206,0.0258933,-0.0349234,0.116776,
0.0583333, -0.529453,-6.97128,-6.32459,0.780015,-0.013674,-0.0289976,-1.28012,-8.28158,-7.67209,0.62047,0.0189068,0.0773351,0.0792923,1.04703,0.146492,0.952667,0.0446025,0.300004,-0.0208229,0.0626739,0.793016,0.459644,0.893115,0.172874,0.0974078,0.403697,0.256244,0.783531,0.359833,0.797545,0.141307,0.200009,0.551317,0.0538412,1.13262,0.385203,0.880572,0.0374748,0.458261,0.114826,0.363544,0.780271,0.32621,0.95074,-0.0131958,0.309598,0.00830958,0.345969,0.660306,0.128735,0.99214,0.0244951,-0.0365791,0.117134,
0.075, -0.536305,-6.94941,-6.20514,0.780183,-0.0162267,-0.028472,-1.2806,-8.29857,-7.67161,0.623445,0.0186514,0.078936,0.0793042,1.04708,0.146443,0.952601,0.0445894,0.30025,-0.0203168,0.0626892,0.793006,0.459642,0.893158,0.173024,0.0974535,0.403528,0.256293,0.783646,0.359783,0.798056,0.141384,0.199539,0.550728,0.0539497,1.13295,0.385269,0.880399,0.0417365,0.459049,0.111493,0.364188,0.780339,0.325874,0.951045,-0.011441,0.308633,0.0113428,0.345875,0.660274,0.12882,0.992184,0.0297926,-0.0324232,0.116753,
0.1, -0.51983,-6.99592,-6.20037,0.783592,-0.0182936,-0.0283309,-1.29969,-8.29784,-7.58872,0.625569,0.0174354,0.0787722,0.0792617,1.04706,0.146351,0.952472,0.0445411,0.300657,-0.0204466,0.0626437,0.792922,0.459533,0.893271,0.172916,0.0976597,0.403275,0.256132,0.783814,0.359336,0.798801,0.140863,0.199274,0.549877,0.0537519,1.13259,0.385234,0.88023,0.0383982,0.458962,0.114343,0.364206,0.780183,0.325844,0.951029,-0.011698,0.308673,0.0113212,0.345837,0.660223,0.128745,0.992138,0.022307,-0.0336079,0.118469,
0.125, -0.579269,-7.07771,-6.20213,0.791513,-0.0245048,-0.0299086,-1.28566,-8.31958,-7.52155,0.623339,0.0164069,0.0785837,0.0791918,1.04702,0.146299,0.952358,0.0446628,0.300989,-0.0206206,0.0626893,0.792989,0.459504,0.893197,0.172782,0.0975659,0.403516,0.256367,0.783706,0.359744,0.797625,0.141538,0.198945,0.551528,0.0537532,1.13261,0.385113,0.880488,0.037288,0.45858,0.114256,0.364285,0.780101,0.3258,0.950972,-0.0122182,0.308834,0.011201,0.345845,0.659862,0.128766,0.990384,0.0318563,-0.0299058,0.131268,
0.141667, -0.573563,-7.08432,-6.17448,0.797177,-0.0283783,-0.0302226,-1.2807,-8.28985,-7.51187,0.613269,0.0132035,0.0771425,0.0791367,1.04706,0.146243,0.952259,0.044353,0.301362,-0.0204086,0.0628044,0.793059,0.459469,0.893297,0.172421,0.0982227,0.403291,0.256362,0.783689,0.359726,0.797323,0.140631,0.199714,0.551917,0.0536555,1.13272,0.385066,0.88016,0.0365763,0.459111,0.114882,0.36439,0.780103,0.325746,0.950967,-0.011453,0.308877,0.0111608,0.345937,0.660061,0.128631,0.992138,0.0270668,-0.0358915,0.1168,
0.158333, -0.59474,-7.09599,-6.12756,0.805345,-0.0310236,-0.0283915,-1.25023,-8.2277,-7.50299,0.598273,0.0069902,0.0752182,0.0791025,1.0471,0.146234,0.952214,0.0442036,0.301514,-0.0205959,0.0628357,0.793087,0.459439,0.893262,0.172659,0.0971706,0.403521,0.25662,0.783835,0.359932,0.79799,0.14366,0.197137,0.5511,0.053774,1.13282,0.385148,0.880433,0.0379032,0.458574,0.114504,0.364493,0.780087,0.325727,0.950941,-0.0114215,0.308967,0.0109359,0.345849,0.659933,0.128696,0.991745,0.0280136,-0.0333688,0.120601,
0.166667, -0.590795,-7.0445,-6.22477,0.808348,-0.0302712,-0.0265337,-1.21643,-8.21866,-7.52234,0.590629,0.00263073,0.0725021,0.0790935,1.04711,0.146235,0.952217,0.0439781,0.301541,-0.0205323,0.0628239,0.793166,0.459505,0.893202,0.173316,0.0983637,0.403083,0.256539,0.783498,0.359703,0.797211,0.140332,0.198714,0.552516,0.0538068,1.13293,0.385096,0.88043,0.0382484,0.458596,0.114319,0.364538,0.780072,0.325728,0.95092,-0.0113285,0.309044,0.0107004,0.345875,0.659941,0.128692,0.992012,0.0274591,-0.0336288,0.118439,
0.208333, -0.593065,-7.04925,-6.28634,0.81346,-0.0307733,-0.0260695,-1.20496,-8.19108,-7.47438,0.588613,-0.011505,0.0758211,0.078541,1.04674,0.146433,0.95171,0.0458975,0.301769,-0.0328206,0.062984,0.793224,0.459362,0.893246,0.175709,0.0950664,0.40274,0.256651,0.783391,0.359662,0.797861,0.140049,0.199965,0.551197,0.0537335,1.13309,0.385204,0.879957,0.0392097,0.459283,0.114879,0.36467,0.779901,0.325719,0.951117,-0.0107298,0.30846,0.0106263,0.345841,0.659667,0.128712,0.991555,0.029687,-0.0338736,0.121617,
0.216667, -0.576476,-7.12122,-6.18694,0.818204,-0.0360518,-0.0278047,-1.2516,-8.16177,-7.43681,0.58348,-0.0301899,0.0822964,0.0784965,1.04672,0.146418,0.951671,0.0460134,0.301767,-0.0337856,0.0631303,0.793319,0.459386,0.893294,0.17609,0.096238,0.402189,0.256591,0.783473,0.359611,0.797937,0.141437,0.199846,0.550776,0.0537357,1.13316,0.385028,0.880105,0.0382527,0.45926,0.11416,0.36464,0.779919,0.325717,0.951101,-0.0107615,0.308519,0.0103641,0.345855,0.659476,0.12871,0.991204,0.0311579,-0.0325654,0.124432,
0.233333, -0.589253,-7.1067,-5.99561,0.816426,-0.0405759,-0.0298851,-1.36691,-8.13306,-7.44791,0.579988,-0.0467068,0.0901771,0.0790483,1.04706,0.146384,0.952286,0.0433427,0.301398,-0.0207868,0.0632643,0.793429,0.459352,0.893202,0.177084,0.0962613,0.401952,0.256676,0.783491,0.359388,0.797714,0.138772,0.200958,0.551371,0.0537412,1.13315,0.384997,0.880368,0.0369689,0.458742,0.114633,0.364643,0.779964,0.325612,0.951281,-0.0108481,0.307951,0.0106514,0.34583,0.659336,0.12868,0.991413,0.0302833,-0.0331852,0.122807,
0.25, -0.589465,-7.10968,-6.00154,0.816553,-0.0439446,-0.0307482,-1.41736,-8.13084,-7.44766,0.577389,-0.0536201,0.0922761,0.0784856,1.04681,0.146454,0.951654,0.0455913,0.301925,-0.0334409,0.0634204,0.793527,0.459336,0.892981,0.178111,0.0973559,0.401726,0.256798,0.783587,0.359368,0.797788,0.138731,0.205629,0.54955,0.0536241,1.13329,0.385058,0.87971,0.0369299,0.459875,0.115162,0.364606,0.780022,0.325546,0.951458,-0.0117758,0.307358,0.0109414,0.345784,0.659651,0.128598,0.992384,0.0255932,-0.0353857,0.115178,
