Timestamp:, sensor 1 , , , , , , sensor 2 , , , , , , body 1, , , , , , , body 2, , , , , , , body 3, , , , , , , body 4, , , , , , , body 5, , , , , , , body 6, , , , , , 
0.225, -0.014806,0.0116602,-0.0019743,0.0014094,0.00268624,0.000114678,-0.0216831,-0.000710108,-0.0740744,-0.00079966,0.000934522,-0.000243887,0.0907733,1.03174,0.111356,0.940502,0.0656806,0.318538,-0.0983669,0.135569,1.12444,0.338524,0.870576,0.263078,0.246586,-0.334787,0.24445,0.79063,0.353671,0.77132,0.0314417,0.622904,-0.12676,0.273425,0.957922,0.192933,0.751768,0.286173,0.554317,0.213732,0.259839,1.05161,0.129984,-0.442554,-0.651903,-0.160175,-0.594569,0.303717,0.692414,-0.0358483,0.972238,0.00331451,0.233712,0.0109768,
0.25, -0.00747784,-0.00617091,-0.0282607,0.000477488,0.00260282,0.00049614,-0.0195526,0.000319916,-0.152165,-0.000898656,0.000816278,-0.000710277,0.0908018,1.0318,0.111387,0.940547,0.0663683,0.318376,-0.0979959,0.135435,1.12413,0.33822,0.871264,0.259458,0.246255,-0.336063,0.244174,0.790542,0.353907,0.772567,0.0285379,0.621743,-0.125543,0.273805,0.957429,0.192912,0.751248,0.289225,0.554802,0.210166,0.260707,1.05117,0.130307,-0.447869,-0.654127,-0.164304,-0.586972,0.303741,0.69238,-0.0359038,0.972299,0.00320878,0.233495,0.0102018,
0.258333, -0.0413786,-0.0129009,0.000836223,0.00031841,0.00272003,0.000654399,-0.00353528,-0.00039687,-0.0792113,-0.0009247,0.00104025,-0.00040775,0.0907927,1.03181,0.111399,0.940647,0.0658131,0.318016,-0.0985797,0.13539,1.1243,0.338472,0.87115,0.261216,0.247834,-0.33383,0.244155,0.790547,0.354008,0.77233,0.0280144,0.621999,-0.125852,0.273856,0.95742,0.19276,0.750588,0.289774,0.555808,0.209107,0.260889,1.05078,0.130062,-0.445733,-0.654345,-0.162959,-0.588727,0.303671,0.692374,-0.0358837,0.972319,0.00244095,0.233416,0.0103577,
0.275, -0.00369126,0.00313226,0.00227547,0.00139472,0.00208524,-0.000264095,-0.00997118,-0.000754982,-0.0738221,-0.000366652,0.000637438,-0.000429705,0.0908805,1.0318,0.111481,0.940636,0.0662162,0.318081,-0.098207,0.135641,1.12422,0.338401,0.870959,0.260713,0.24709,-0.33527,0.243807,0.79045,0.354136,0.772851,0.0268196,0.6217,-0.124383,0.273957,0.957166,0.192759,0.750804,0.289905,0.555708,0.208414,0.260996,1.05055,0.130188,-0.447887,-0.654282,-0.165274,-0.586512,0.30344,0.692355,-0.0356856,0.973435,0.00320001,0.228686,0.0107893,
0.291667, 0.00287415,0.004518,0.00239366,-1.37674e-05,0.00169664,9.21686e-05,-0.00861352,0.00485478,-0.0746455,-9.35173e-05,0.000916721,-0.000160131,0.0909039,1.0317,0.111571,0.940668,0.0661113,0.317987,-0.098274,0.135791,1.12406,0.338203,0.871399,0.259212,0.244918,-0.336881,0.243764,0.790367,0.35425,0.772659,0.027499,0.621803,-0.124908,0.273966,0.956567,0.19299,0.752186,0.288094,0.555256,0.207145,0.261172,1.0502,0.129617,-0.443926,-0.654998,-0.16101,-0.589901,0.303769,0.692364,-0.0358385,0.972273,0.00259103,0.233589,0.0106815,
0.325, 0.0448608,0.00871474,0.0474547,-0.00026273,0.000448533,0.00107755,-0.0102163,0.0175148,-0.146438,-0.000429769,0.00102193,-0.000223735,0.0910008,1.03154,0.11176,0.940669,0.0662724,0.318283,-0.0971916,0.135995,1.12425,0.338477,0.870923,0.26121,0.245939,-0.335823,0.243737,0.790195,0.354403,0.77261,0.0271583,0.621562,-0.126478,0.27295,0.956563,0.192484,0.756895,0.291675,0.549868,0.1992,0.261755,1.05013,0.129769,-0.44547,-0.65921,-0.158513,-0.584698,0.303794,0.692324,-0.0357238,0.972234,0.00174912,0.23377,0.0105049,
0.341667, 0.0352269,-0.00988585,-0.0199641,-0.000610401,0.00175711,0.000544447,0.000635999,0.00304532,-0.0817533,-0.0001988,0.000911334,-0.000539338,0.0910562,1.03153,0.111801,0.940693,0.0663372,0.318256,-0.0970012,0.135939,1.12403,0.338514,0.871253,0.259112,0.246721,-0.336017,0.243742,0.790112,0.354494,0.772453,0.0241683,0.621724,-0.127245,0.274461,0.956116,0.192541,0.749959,0.294385,0.557319,0.200735,0.262287,1.05015,0.129848,-0.446369,-0.66251,-0.157318,-0.580591,0.303856,0.692368,-0.0357207,0.972235,0.00176369,0.233798,0.00972377,
0.366667, 0.000240402,-0.00997185,-0.097474,0.000991067,0.00125282,0.000198357,-2.75407e-05,0.0193361,-0.0745389,-0.00120647,0.00049228,-0.000511763,0.0911269,1.03157,0.111825,0.940645,0.0663159,0.318431,-0.096901,0.136344,1.12446,0.338806,0.868867,0.264451,0.247401,-0.337533,0.243708,0.790133,0.354445,0.771849,0.0272671,0.622363,-0.12716,0.274656,0.955882,0.192407,0.748277,0.299267,0.558801,0.195609,0.263024,1.05005,0.129885,-0.449127,-0.665208,-0.15765,-0.575265,0.303838,0.692368,-0.0357234,0.972277,0.00292828,0.233548,0.0111863,
0.383333, 0.0107649,0.00588058,-0.116786,0.00188303,0.000737539,0.000146767,-0.0195731,0.00368445,-0.100765,-0.000425693,0.000244149,-0.000678753,0.0911711,1.03161,0.111831,0.940627,0.0662125,0.318504,-0.0969113,0.136153,1.12408,0.338504,0.871099,0.259599,0.245752,-0.336751,0.24368,0.790156,0.35453,0.771677,0.0274495,0.622573,-0.12714,0.274806,0.95541,0.192644,0.749195,0.299684,0.558453,0.192421,0.263453,1.04964,0.130164,-0.454196,-0.666294,-0.162678,-0.56859,0.303823,0.692391,-0.0357439,0.972312,0.00378289,0.233373,0.0114618,
0.4, -0.00697781,0.00472192,-0.127177,0.0020165,0.00171619,5.34618e-05,-0.0158131,0.000186016,-0.0722906,-0.000651726,-0.000360014,-0.000619707,0.0912195,1.03164,0.111853,0.940707,0.0663893,0.318247,-0.0968598,0.136259,1.12426,0.338594,0.870819,0.260777,0.24539,-0.33683,0.24364,0.790131,0.354613,0.771743,0.0269616,0.62241,-0.127637,0.275261,0.955126,0.192481,0.747061,0.303293,0.560594,0.188806,0.263903,1.04965,0.129777,-0.459735,-0.670461,-0.153641,-0.561712,0.303799,0.692364,-0.0357511,0.972335,0.00399147,0.233287,0.0112037,
0.425, 0.00919839,-0.0201086,-0.124043,0.00142358,0.0014282,0.000493906,-0.0211792,0.0147011,-0.0746666,2.42088e-06,5.75517e-05,0.000429853,0.091226,1.03157,0.111927,0.940685,0.0666449,0.318462,-0.096192,0.136301,1.12413,0.33865,0.871041,0.259504,0.245735,-0.336986,0.24368,0.789984,0.354632,0.771725,0.0256754,0.622133,-0.129354,0.275887,0.955144,0.19196,0.744892,0.310162,0.561755,0.182667,0.265453,1.04946,0.130042,-0.467021,-0.674563,-0.157655,-0.549545,0.303678,0.692318,-0.0357518,0.97239,0.0039236,0.233063,0.0110898,
0.441667, -0.0121624,-0.017564,-0.048145,0.000164784,0.00302775,-1.73423e-05,-0.0295919,0.0187288,-0.092565,-0.00106735,-7.60217e-05,-0.000222079,0.0912452,1.03153,0.112005,0.940606,0.0666421,0.318793,-0.0958685,0.136548,1.12439,0.338863,0.870833,0.2628,0.244,-0.336229,0.243671,0.789903,0.3549,0.772018,0.0245663,0.621757,-0.129625,0.276411,0.954834,0.191774,0.742581,0.315511,0.564301,0.174901,0.266048,1.04873,0.129875,-0.475734,-0.678553,-0.152968,-0.538371,0.303724,0.692281,-0.0357443,0.972345,0.00290924,0.233323,0.00985859,
0.45, -0.0101946,-0.0107358,-0.00500705,9.36068e-05,0.00277053,0.000449709,-0.0209225,0.00486538,-0.0741908,-0.000205601,-0.000245748,-0.000357533,0.0912539,1.03152,0.112028,0.940554,0.0666808,0.318961,-0.0957873,0.137352,1.12546,0.339359,0.867895,0.281432,0.240125,-0.331502,0.243678,0.789846,0.355,0.771985,0.025929,0.621674,-0.129958,0.27652,0.954281,0.192007,0.742382,0.319936,0.563204,0.171206,0.266906,1.04951,0.129445,-0.46992,-0.686976,-0.15131,-0.533239,0.303877,0.692315,-0.0357444,0.972256,0.00194954,0.233705,0.00983204,
0.475, 0.00587907,0.00387137,-0.0534338,0.00171192,0.00123829,-0.000247873,-0.0211327,-0.0180386,-0.0756619,-0.000586617,0.000417498,-0.00069276,0.0912802,1.03152,0.112033,0.94044,0.0663399,0.319092,-0.096707,0.136989,1.12427,0.338774,0.870973,0.260981,0.243949,-0.33732,0.243524,0.789704,0.355349,0.771552,0.0274645,0.622021,-0.130549,0.27722,0.954139,0.191778,0.740464,0.323111,0.565814,0.164824,0.268328,1.04857,0.129683,-0.481968,-0.683941,-0.147437,-0.527442,0.303877,0.692291,-0.0355605,0.972489,0.0020821,0.232731,0.00989714,
0.491667, 0.0257706,-0.0116054,-0.0618624,-0.00127224,0.00228559,0.000283143,-0.0211322,-0.0147695,-0.0756907,-0.000192045,0.000209201,-0.000422204,0.0912965,1.0316,0.11199,0.940409,0.0665313,0.319295,-0.0962077,0.136773,1.12435,0.338864,0.870343,0.260453,0.244834,-0.338708,0.243352,0.789592,0.355606,0.771772,0.0279199,0.621542,-0.131434,0.277262,0.953331,0.192462,0.740143,0.325753,0.566582,0.158297,0.269367,1.04841,0.129545,-0.486726,-0.68635,-0.145659,-0.52039,0.30391,0.692369,-0.0357395,0.97227,0.00306226,0.233531,0.0120131,
0.508333, 0.0200507,-0.00395004,-0.00966808,-0.00191448,0.0018931,0.000495583,-0.0211327,-0.00190794,-0.1499,-0.000563561,2.65306e-05,-0.000667709,0.0912959,1.03162,0.111977,0.940341,0.0663841,0.319524,-0.0962142,0.137076,1.12451,0.338738,0.870055,0.263657,0.243029,-0.33827,0.243175,0.789532,0.355758,0.772219,0.0271528,0.620876,-0.132109,0.277884,0.95308,0.192333,0.737879,0.333522,0.56719,0.150308,0.271077,1.04818,0.129394,-0.490433,-0.692656,-0.139982,-0.510008,0.3039,0.692366,-0.0357977,0.972289,0.00295317,0.233498,0.0111343,
0.525, 0.00234499,-0.00142113,-0.108059,0.000574811,0.000930548,3.97334e-05,-0.0231045,0.00105789,-0.0866232,-0.000412877,-0.000177865,-0.000692819,0.0914529,1.03134,0.111738,0.940308,0.0666833,0.320164,-0.0941763,0.137006,1.12435,0.33873,0.870553,0.260217,0.243237,-0.3395,0.242697,0.789083,0.355526,0.775122,0.0297375,0.617104,-0.132228,0.278641,0.952606,0.192201,0.732684,0.346725,0.569593,0.136087,0.273651,1.0481,0.129386,-0.497586,-0.701594,-0.133414,-0.492316,0.303857,0.692333,-0.0358632,0.972291,0.00222515,0.233526,0.0105642,
0.55, 0.0142475,-0.00302741,-0.0580472,-0.000660149,0.00135274,0.000309425,-0.0236792,-9.09512e-05,-0.11626,0.000271337,0.00068629,2.6197e-05,0.091312,1.0314,0.111726,0.940159,0.0669797,0.320486,-0.0943604,0.137162,1.12466,0.338739,0.869951,0.263326,0.242981,-0.338829,0.242208,0.789412,0.356048,0.77782,0.0355982,0.61226,-0.137356,0.279934,0.951852,0.191966,0.723491,0.364997,0.5758,0.108593,0.278015,1.04796,0.129372,0.509333,0.714861,0.125605,0.46236,0.303775,0.692349,-0.0359219,0.972281,0.00269568,0.2336,0.00967451,
0.566667, -0.00201516,-0.0023157,-0.0458293,0.00157103,0.00177093,0.000195277,-0.020819,-0.00905388,-0.117667,-0.000574447,0.000647657,-0.00061777,0.091247,1.03144,0.111737,0.940076,0.0669498,0.320625,-0.0947349,0.137097,1.12438,0.338588,0.871112,0.258792,0.243148,-0.339219,0.241834,0.789328,0.356415,0.77615,0.0355975,0.614341,-0.137509,0.2803,0.951456,0.191977,0.720692,0.369833,0.578174,0.0976844,0.279492,1.04751,0.129119,0.513142,0.719058,0.122324,0.452413,0.303794,0.692279,-0.0359309,0.972271,0.00279991,0.233594,0.0107132,
0.583333, 0.00778868,0.00481354,0.00186552,-0.00017844,0.000162601,-9.285e-06,-0.0206848,0.000117402,-0.108614,-0.000182447,0.000514101,-0.000655308,0.0912732,1.03148,0.111712,0.940085,0.0672527,0.321099,-0.0928069,0.137246,1.12457,0.338564,0.87132,0.258626,0.24324,-0.338745,0.2417,0.789531,0.356818,0.776676,0.0366245,0.613371,-0.1386,0.28031,0.951313,0.192088,0.72051,0.370799,0.577774,0.0977321,0.28011,1.04722,0.129113,0.51774,0.717487,0.120193,0.450235,0.303787,0.692307,-0.0359361,0.972247,0.00294055,0.233695,0.0106656,
0.591667, 0.00207119,-0.00119816,-4.31336e-05,-0.000437823,0.0018483,0.000137975,-0.0215712,-0.00394231,-0.0826184,-0.000770863,-1.86631e-05,-0.000916626,0.091192,1.03149,0.111795,0.940036,0.0668208,0.320762,-0.0947576,0.137438,1.12457,0.338617,0.871304,0.258457,0.243897,-0.338443,0.241801,0.789573,0.356831,0.776927,0.0370756,0.612996,-0.138728,0.28025,0.951202,0.192175,0.720385,0.371368,0.57752,0.0979902,0.28055,1.0471,0.129084,0.519292,0.718562,0.118524,0.447165,0.303728,0.692311,-0.0359091,0.972247,0.00261683,0.233704,0.0105582,
0.616667, -0.0165851,-0.0210703,-0.125829,0.00108706,0.00314407,0.000437754,-0.0210071,-0.0036759,-0.074781,-0.000167918,7.04319e-05,-0.000304916,0.0911648,1.03154,0.111791,0.940035,0.066889,0.320822,-0.0945154,0.136898,1.12462,0.338688,0.870897,0.259683,0.243487,-0.338847,0.241801,0.789573,0.356831,0.776927,0.0370756,0.612996,-0.138728,0.280783,0.950527,0.192277,0.716007,0.379025,0.579462,0.088872,0.282963,1.04665,0.128848,0.527249,0.725184,0.11082,0.428761,0.303702,0.692336,-0.0359435,0.972231,0.00230351,0.233777,0.0104351,
