Timestamp:, sensor 1 , , , , , , sensor 2 , , , , , , body 1, , , , , , , body 2, , , , , , , body 3, , , , , , , body 4, , , , , , , body 5, , , , , , , body 6, , , , , , 
0.00833333, -0.0118279,-0.0156235,0.196655,-0.00265477,0.00264641,0.000785977,0.0180081,0.016002,-0.0195074,-0.00156549,-0.000575219,-0.000589235,0.0757288,1.02002,0.164129,0.941107,0.0776354,0.249002,-0.215147,0.0660138,1.15102,0.410899,0.90596,0.283517,0.120749,-0.290299,0.151874,0.837958,0.483319,0.440099,-0.59146,0.543332,-0.401595,0.25873,0.745264,0.351229,0.886647,-0.100868,0.362509,-0.268833,0.326676,0.716535,0.259861,0.905543,0.405154,0.04882,0.116013,0.395812,0.626407,0.0320682,0.989859,0.00657648,0.132959,-0.0495777,
0.0416667, 0.0202457,0.0181923,0.19816,-0.00153215,0.000814457,6.41244e-05,0.0160796,0.0238938,0.00211768,-0.000799563,-0.000607701,0.000127445,0.0756911,1.0199,0.164231,0.940995,0.0777642,0.249156,-0.21541,0.0661231,1.15077,0.411077,0.906494,0.281737,0.121262,-0.290151,0.151745,0.837967,0.483326,0.439899,-0.591588,0.543273,-0.401705,0.258812,0.745181,0.351418,0.887118,-0.0980473,0.363012,-0.267639,0.326777,0.716581,0.259839,0.905802,0.404703,0.0497341,0.115172,0.395793,0.626359,0.0320192,0.989803,0.00736734,0.133184,-0.0499813,
0.0666667, 0.0127381,0.00912733,0.162818,-0.00211419,0.00184098,0.000496874,0.0213162,0.0138595,-4.83816e-05,-0.000967339,-0.000447573,-0.000625474,0.0756698,1.01994,0.164232,0.941022,0.0777249,0.249287,-0.215159,0.0660359,1.15081,0.411348,0.906035,0.283425,0.121346,-0.289909,0.151919,0.837826,0.483427,0.440278,-0.59099,0.543654,-0.401655,0.258746,0.745209,0.351058,0.887686,-0.0970246,0.362979,-0.26617,0.326809,0.716715,0.25985,0.905571,0.40471,0.0511398,0.116343,0.395711,0.626334,0.0319335,0.989762,0.00702024,0.133295,-0.0505385,
0.0833333, -0.00412877,-0.00399522,0.175216,-0.00217674,0.00218501,0.00013999,0.0091716,0.0257375,-0.00197893,-0.00139791,-0.000441019,-0.000595777,0.0756835,1.02001,0.164239,0.941052,0.0777386,0.249201,-0.21512,0.0660793,1.15075,0.411602,0.9064,0.284963,0.120523,-0.287591,0.151873,0.837826,0.483374,0.440796,-0.59072,0.543353,-0.401891,0.258795,0.745088,0.350765,0.887601,-0.0950291,0.363411,-0.266584,0.326727,0.716613,0.259786,0.905716,0.404884,0.0495474,0.115295,0.3957,0.626367,0.031902,0.989841,0.00676676,0.133129,-0.0494514,
0.1, 0.00456099,0.000453489,0.234556,-0.00257151,0.0019045,0.00103451,-2.77465e-05,0.0454486,-0.00680923,-0.00134963,-0.000314514,0.000155148,0.0756467,1.02001,0.164302,0.941015,0.0778083,0.249228,-0.215226,0.0660493,1.15081,0.411371,0.905959,0.283913,0.121008,-0.28981,0.151883,0.837726,0.483295,0.442056,-0.590706,0.542744,-0.40135,0.258746,0.745201,0.351345,0.88866,-0.0946734,0.362164,-0.264873,0.326713,0.716639,0.259816,0.9054,0.405337,0.0499641,0.116004,0.395723,0.626424,0.0319598,0.989889,0.00687184,0.132516,-0.0501145,
0.125, 0.00631583,0.00647235,0.204973,-0.00232762,0.0019503,0.000746433,0.0136368,0.0310293,-0.021418,-0.00144449,-0.000524681,-0.000341821,0.0756339,1.02003,0.16446,0.941024,0.0779318,0.249426,-0.21491,0.0660373,1.15072,0.411486,0.906072,0.283651,0.121099,-0.289673,0.151814,0.83777,0.483423,0.440629,-0.590755,0.54357,-0.401729,0.258729,0.745191,0.351236,0.887579,-0.0972606,0.362418,-0.267204,0.326734,0.716592,0.259822,0.905286,0.405561,0.0494097,0.11635,0.395807,0.626468,0.0320553,0.989902,0.00661783,0.132565,-0.0497672,
0.141667, 0.0312154,0.0184208,0.225996,-0.000221328,0.000402281,3.46007e-05,0.00423306,0.00954815,3.01992e-05,-0.000847319,-0.00043006,0.000123892,0.0756148,1.01999,0.164565,0.941015,0.0780013,0.249569,-0.214761,0.0660441,1.15074,0.41166,0.906101,0.284778,0.120124,-0.288881,0.151763,0.837573,0.483472,0.441536,-0.591036,0.542735,-0.40145,0.258732,0.745146,0.351033,0.887367,-0.096817,0.363124,-0.26711,0.326765,0.716653,0.26001,0.904756,0.406689,0.0484933,0.116917,0.395842,0.626453,0.032033,0.989755,0.00703491,0.133582,-0.0499145,
0.166667, 0.0165789,0.0167328,0.138186,-0.00198739,0.00177742,0.00102513,0.0113817,0.0191103,-0.0053335,-0.00135774,-0.0008463,-0.000509225,0.075621,1.01991,0.164719,0.941003,0.0780973,0.249254,-0.215141,0.0660463,1.15063,0.411823,0.905619,0.284191,0.121249,-0.290499,0.151768,0.837493,0.483666,0.44075,-0.590804,0.543884,-0.4011,0.258697,0.745111,0.351567,0.887411,-0.0977142,0.362497,-0.267488,0.326661,0.716464,0.259913,0.906252,0.40335,0.0540652,0.114429,0.395858,0.62638,0.0321339,0.989918,0.00597785,0.132567,-0.0495169,
0.191667, 0.00466843,0.00464821,0.124018,-0.00189974,0.00190325,9.66987e-06,0.0192741,0.0312833,0.000861315,-0.0009592,-0.000893491,-0.000374465,0.0755305,1.01989,0.164728,0.940934,0.0781307,0.249462,-0.21519,0.0660455,1.15053,0.411973,0.905872,0.28488,0.119947,-0.289573,0.151633,0.837492,0.483643,0.440912,-0.590635,0.543706,-0.401411,0.258663,0.744987,0.351315,0.886628,-0.0983683,0.362539,-0.269779,0.326774,0.716543,0.259977,0.905425,0.405071,0.0502124,0.11663,0.395736,0.626314,0.0320731,0.989771,0.00705556,0.133298,-0.0503555,
0.208333, 0.00346648,0.00346724,0.124081,-0.00190377,0.00190351,-9.99662e-07,0.0211119,0.0253419,0.018728,-0.00131318,-0.000822826,-0.00010275,0.0754934,1.01997,0.164719,0.94101,0.0783069,0.249525,-0.214722,0.0659481,1.15044,0.41174,0.906481,0.282075,0.120103,-0.290348,0.151575,0.83752,0.483615,0.441071,-0.590462,0.543676,-0.401531,0.258668,0.744922,0.350931,0.888091,-0.0950178,0.363376,-0.264999,0.326667,0.716547,0.26008,0.905824,0.40487,0.04998,0.114307,0.395655,0.626304,0.0320609,0.989821,0.00546167,0.132867,-0.0507087,
