Timestamp:, sensor 1 , , , , , , sensor 2 , , , , , , body 1, , , , , , , body 2, , , , , , , body 3, , , , , , , body 4, , , , , , , body 5, , , , , , , body 6, , , , , , 
0.025, 0.00827343,0.0277869,0.0442431,-0.00133445,-0.00155387,0.000785797,0.0016905,0.000327052,-0.0378406,-0.00017656,0.000595959,0.000506958,0.072084,1.01791,0.175082,0.942966,0.122505,0.23982,-0.195687,0.0761347,1.11876,0.42201,0.912305,0.280002,0.0948183,-0.283389,0.118228,0.800682,0.488679,0.553429,-0.473489,0.494635,-0.474194,0.25674,0.706503,0.396618,0.932482,0.118602,0.200883,-0.275785,0.355233,0.687532,0.332662,0.8276,0.523504,-0.165708,0.116454,0.442137,0.619203,0.0549901,0.989226,0.0159458,0.141312,-0.0347773,
0.0333333, 0.00891223,0.0416503,0.10183,-0.00123816,-0.00133944,0.000750925,-0.00423088,0.0190468,-0.0385301,-0.000403451,0.000584936,4.1926e-05,0.072081,1.01791,0.175072,0.943037,0.122741,0.239829,-0.195187,0.0760403,1.11885,0.422129,0.912869,0.277396,0.0942521,-0.284321,0.118228,0.800682,0.488679,0.553429,-0.473489,0.494635,-0.474194,0.256784,0.706402,0.396605,0.932101,0.117276,0.201407,-0.277252,0.355195,0.687488,0.332707,0.827595,0.523562,-0.165589,0.116406,0.442095,0.618531,0.0548385,0.98892,0.0305494,0.140708,-0.0361369,
0.0583333, -0.0135553,0.0184305,0.0615511,-0.00185293,-0.00022049,0.000647957,-0.00844798,0.00872924,-0.0831857,-0.000696531,0.000587927,0.00112735,0.0721019,1.01791,0.175073,0.943039,0.122575,0.23989,-0.195206,0.0759801,1.11892,0.42218,0.912449,0.279236,0.0943193,-0.283845,0.118228,0.800682,0.488679,0.553429,-0.473489,0.494635,-0.474194,0.256706,0.706165,0.396495,0.933157,0.122253,0.200024,-0.272513,0.355302,0.687452,0.332893,0.827508,0.523093,-0.165391,0.119374,0.442071,0.618569,0.0547964,0.988937,0.031701,0.140467,-0.0356074,
0.075, 0.00122255,0.0145739,0.127484,-0.00216778,-0.000156016,0.000447869,-0.01084,-0.000193538,-0.0672235,-0.000472579,0.000695191,0.000981429,0.0720943,1.01793,0.175065,0.943053,0.122626,0.239901,-0.195092,0.075884,1.11887,0.42219,0.912536,0.278459,0.0948602,-0.284149,0.118228,0.800682,0.488679,0.553429,-0.473489,0.494635,-0.474194,0.25676,0.706522,0.396589,0.931562,0.11554,0.202208,-0.279203,0.355112,0.687471,0.332677,0.827542,0.523442,-0.166332,0.11626,0.442071,0.618636,0.0547907,0.988928,0.0320799,0.140439,-0.0356393,
0.108333, -0.0237247,0.00543525,0.124654,-0.000817693,-0.000136373,0.000160801,-0.0071033,0.00622326,-0.0746824,-0.000594831,0.000102106,0.00113263,0.0720643,1.01804,0.175056,0.942992,0.122724,0.239703,-0.195572,0.0757674,1.11896,0.42226,0.912317,0.278922,0.0954548,-0.284198,0.118228,0.800682,0.488679,0.553429,-0.473489,0.494635,-0.474194,0.25673,0.706451,0.396471,0.932407,0.118169,0.200886,-0.27622,0.355169,0.687596,0.332703,0.827032,0.524164,-0.166432,0.116495,0.442095,0.618713,0.0548229,0.988926,0.0317166,0.140537,-0.0356283,
0.116667, 0.00613542,0.0265417,0.124075,-0.0018838,-0.000742009,0.00107362,-0.0201068,2.46025e-05,-0.0746372,-0.000594882,0.000469096,0.000344938,0.0720587,1.01804,0.175074,0.943008,0.122822,0.239597,-0.195561,0.075835,1.1189,0.422206,0.91248,0.278821,0.0939668,-0.284269,0.118228,0.800682,0.488679,0.553429,-0.473489,0.494635,-0.474194,0.256694,0.706476,0.396368,0.932414,0.118584,0.200107,-0.276584,0.355052,0.68752,0.332722,0.827173,0.523765,-0.167184,0.116207,0.442099,0.618647,0.0548318,0.988949,0.0307829,0.140645,-0.0353802,
0.133333, -0.00623979,0.0245416,0.124068,-0.00175659,0.000232249,0.000961661,0.00539021,0.0125615,-0.0746361,-0.000495146,0.00050481,6.49644e-05,0.0720582,1.01802,0.175106,0.943015,0.122941,0.239418,-0.195671,0.0758138,1.11872,0.422204,0.912683,0.277657,0.0938087,-0.284809,0.118228,0.800682,0.488679,0.553429,-0.473489,0.494635,-0.474194,0.256709,0.706434,0.396526,0.932198,0.117598,0.201093,-0.27702,0.355089,0.687525,0.332712,0.827129,0.523888,-0.16674,0.116604,0.442132,0.61866,0.0548613,0.98892,0.0312531,0.140549,-0.0361464,
0.125, 0.0218226,0.026104,0.0208907,-0.00244686,-0.000721574,0.00135241,-1.00849e-05,0.0188851,-0.058717,-0.000171415,0.000704547,0.000948301,0.0720621,1.01805,0.175083,0.942973,0.122808,0.239748,-0.195552,0.0758065,1.11891,0.422217,0.912324,0.279316,0.0942734,-0.284184,0.118228,0.800682,0.488679,0.553429,-0.473489,0.494635,-0.474194,0.256611,0.70636,0.396458,0.932852,0.119753,0.200165,-0.274556,0.355169,0.687524,0.332466,0.825705,0.525485,-0.168459,0.117041,0.442124,0.61867,0.0548562,0.988961,0.0305525,0.140543,-0.0356396,
0.175, 0.0215564,0.0255976,0.0512975,-0.000746119,-0.00090902,0.00139088,0.0161711,0.0239536,-0.0580394,-0.000408031,0.000627443,0.000700084,0.0721011,1.01791,0.175129,0.943003,0.122866,0.239937,-0.195142,0.0757897,1.11856,0.422234,0.912868,0.277494,0.093863,-0.284356,0.118228,0.800682,0.488679,0.553429,-0.473489,0.494635,-0.474194,0.256703,0.706445,0.396626,0.931953,0.116663,0.201293,-0.278091,0.355086,0.687462,0.332749,0.827343,0.523816,-0.166032,0.116416,0.442092,0.618511,0.0548175,0.988925,0.0311898,0.140562,-0.0360112,
0.183333, 0.0252529,0.0282637,0.0651415,-0.00108975,-0.000949531,0.000695122,0.00811864,0.00480089,-0.0298598,5.62912e-06,0.000873118,0.000322824,0.0720615,1.01793,0.175112,0.943066,0.122837,0.239591,-0.195279,0.0758005,1.11878,0.422233,0.912484,0.279225,0.0938882,-0.283886,0.118228,0.800682,0.488679,0.553429,-0.473489,0.494635,-0.474194,0.256668,0.706356,0.396566,0.931964,0.117181,0.20138,-0.277773,0.354927,0.68751,0.332532,0.824839,0.526549,-0.16987,0.116324,0.442066,0.61852,0.0547857,0.988937,0.0308866,0.140592,-0.0358426,
